state,year,category,cost
Arizona,2019,healthcare,5125.572958385788
Arizona,2019,housing,18036.67
Arizona,2019,miscellaneous,888.3260425528858
Arizona,2019,personal_care,710.6608340423087
Arizona,2019,personal_insurance,7106.608340423087
Arizona,2019,reading,112.76885127749594
Arizona,2019,tobacco,281.92212819373987
Arizona,2019,transportation,9251.983168084507
Arizona,2021,alcohol,458.0295971591253
Arizona,2021,apparel,1542.4682111507875
Arizona,2021,cash_contributions,2030.0
Arizona,2021,education,1337.9343657363795
Arizona,2021,entertainment,2828.0740160141672
Arizona,2021,food,7442.980953835786
Arizona,2021,healthcare,5162.545032419155
Arizona,2021,housing,21010.21
Arizona,2021,miscellaneous,899.8417323681441
Arizona,2021,personal_care,719.8733858945153
Arizona,2021,personal_insurance,7198.733858945153
Arizona,2021,reading,118.40148931942188
Arizona,2021,tobacco,296.00372329855463
Arizona,2021,transportation,10062.786011599484
Arizona,2022,alcohol,519.5104817359435
Arizona,2022,apparel,1670.9825834515966
Arizona,2022,cash_contributions,2030.0
Arizona,2022,education,1426.6484365548015
Arizona,2022,entertainment,3169.9139143964776
Arizona,2022,food,8442.045328209078
Arizona,2022,healthcare,5575.460260174609
Arizona,2022,housing,23376.37
Arizona,2022,miscellaneous,1008.6089727625156
Arizona,2022,personal_care,806.8871782100124
Arizona,2022,personal_insurance,8068.871782100125
Arizona,2022,reading,131.90109563319615
Arizona,2022,tobacco,329.7527390829904
Arizona,2022,transportation,11979.716821515787
Arizona,2023,alcohol,545.8431999999999
Arizona,2023,apparel,1705.7599999999998
Arizona,2023,cash_contributions,2030.0
Arizona,2023,education,1503.2661000000005
Arizona,2023,entertainment,3374.6790000000005
Arizona,2023,food,8869.952
Arizona,2023,healthcare,5726.728000000001
Arizona,2023,housing,25469.44
Arizona,2023,miscellaneous,1073.7615
Arizona,2023,personal_care,859.0092000000001
Arizona,2023,personal_insurance,8590.092
Arizona,2023,reading,136.46079999999998
Arizona,2023,tobacco,341.152
Arizona,2023,transportation,11940.32
Arkansas,2008,alcohol,356.2082673295787
Arkansas,2008,apparel,1528.6672793682235
Arkansas,2008,cash_contributions,2030.0
Arkansas,2008,education,889.5140412198932
Arkansas,2008,entertainment,2262.2601482320283
Arkansas,2008,food,5788.384344105653
Arkansas,2008,healthcare,3603.241407649597
Arkansas,2008,housing,9294.32
Arkansas,2008,miscellaneous,719.8100471647363
Arkansas,2008,personal_care,575.8480377317891
Arkansas,2008,personal_insurance,5758.48037731789
Arkansas,2008,reading,94.88774922638078
Arkansas,2008,tobacco,237.21937306595197
Arkansas,2008,transportation,8597.718892342105
Arkansas,2009,alcohol,354.3957551212177
Arkansas,2009,apparel,1508.578268038001
Arkansas,2009,cash_contributions,2030.0
Arkansas,2009,education,924.1780368143172
Arkansas,2009,entertainment,2225.175577200837
Arkansas,2009,food,5758.931020719788
Arkansas,2009,healthcare,3668.2334865158846
Arkansas,2009,housing,9095.62
Arkansas,2009,miscellaneous,708.010410927539
Arkansas,2009,personal_care,566.4083287420311
Arkansas,2009,personal_insurance,5664.083287420312
Arkansas,2009,reading,92.44448935464727
Arkansas,2009,tobacco,231.1112233866182
Arkansas,2009,transportation,7718.411158518773
Arkansas,2010,alcohol,367.63438118895823
Arkansas,2010,apparel,1545.7455735175508
Arkansas,2010,cash_contributions,2030.0
Arkansas,2010,education,980.5003696392922
Arkansas,2010,entertainment,2297.2553551269675
Arkansas,2010,food,5974.058694320572
Arkansas,2010,healthcare,3853.204502104804
Arkansas,2010,housing,9486.68
Arkansas,2010,miscellaneous,730.944885722217
Arkansas,2010,personal_care,584.7559085777737
Arkansas,2010,personal_insurance,5847.559085777736
Arkansas,2010,reading,96.72687274968894
Arkansas,2010,tobacco,241.8171818742223
Arkansas,2010,transportation,8570.976999453173
Arkansas,2011,alcohol,378.9568491102656
Arkansas,2011,apparel,1569.3065949604886
Arkansas,2011,cash_contributions,2030.0
Arkansas,2011,education,1038.4506748110607
Arkansas,2011,entertainment,2407.6744113038603
Arkansas,2011,food,6158.048798041816
Arkansas,2011,healthcare,4034.61038760657
Arkansas,2011,housing,9766.89
Arkansas,2011,miscellaneous,766.0782217785011
Arkansas,2011,personal_care,612.8625774228008
